Pop04;PopChange;MedAge;MedIncome;MedHVal;MedRent;Unemployment;CostOfLiving;HispRate;AsianRate;BlackRate;AmerIndRate;LandArea;URL;CrawledTime;DbId;Year;TrueURL;City;Spalte1
121287;293.2;36.0;59553;160400;1189;9.1;92.8;17.8;2.1;8.4;0.7;69.5 ;http://web.archive.org/web/20150103191704/http://www.city-data.com:80/city/Surprise-Arizona.html;18.12.2016 22:39;230;2015;http://www.city-data.com/city/Surprise-Arizona.html;SURPRISE, AZ;SURPRISE, AZ2015
174255;9.9;28.8;48585;227800;888;4.3;94.0;24.3;6.3;3.0;0.0;40.1 ;http://web.archive.org/web/20111227153155/http://www.city-data.com:80/city/Tempe-Arizona.html;18.12.2016 22:39;231;2012;http://www.city-data.com/city/Tempe-Arizona.html;TEMPE, AZ;TEMPE, AZ2012
161719;2.0;28.1;48585;227800;888;4.3;93.6;21.1;5.6;5.6;2.4;40.1 ;http://web.archive.org/web/20130106153016/http://www.city-data.com:80/city/Tempe-Arizona.html;18.12.2016 22:39;232;2013;http://www.city-data.com/city/Tempe-Arizona.html;TEMPE, AZ;TEMPE, AZ2013
166842;5.2;28.1;45518;184500;884;11.5;93.4;20.7;7.2;6.1;1.0;40.1 ;http://web.archive.org/web/20140101065716/http://www.city-data.com:80/city/Tempe-Arizona.html;18.12.2016 22:39;233;2014;http://www.city-data.com/city/Tempe-Arizona.html;TEMPE, AZ;TEMPE, AZ2014
166842;5.2;28.1;45009;174200;899;8.3;93.1;24.2;7.2;3.8;2.3;40.1 ;http://web.archive.org/web/20141231084202/http://www.city-data.com:80/city/Tempe-Arizona.html;18.12.2016 22:39;234;2015;http://www.city-data.com/city/Tempe-Arizona.html;TEMPE, AZ;TEMPE, AZ2015
7302;46.8;29.4;30846;127909;801;4.3;91.2;83.8;1.2;5.8;0.0;5.56 ;http://web.archive.org/web/20111211170500/http://www.city-data.com:80/city/Tolleson-Arizona.html;18.12.2016 22:39;235;2012;http://www.city-data.com/city/Tolleson-Arizona.html;TOLLESON, AZ;TOLLESON, AZ2012
6558;31.8;26.6;30846;127909;801;4.3;90.9;80.1;0.8;5.8;1.0;5.56 ;http://web.archive.org/web/20130128204257/http://www.city-data.com/city/Tolleson-Arizona.html;18.12.2016 22:39;236;2013;http://www.city-data.com/city/Tolleson-Arizona.html;TOLLESON, AZ;TOLLESON, AZ2013
6558;31.8;26.6;30846;127909;801;4.3;90.9;80.1;0.8;5.8;1.0;5.56 ;http://web.archive.org/web/20130511163751/http://www.city-data.com/city/Tolleson-Arizona.html;18.12.2016 22:39;237;2014;http://www.city-data.com/city/Tolleson-Arizona.html;TOLLESON, AZ;TOLLESON, AZ2014
6756;35.8;26.6;35910;89759;858;4.3;90.5;83.1;1.3;4.5;0.8;5.56 ;http://web.archive.org/web/20150219054622/http://www.city-data.com:80/city/Tolleson-Arizona.html;18.12.2016 22:39;238;2015;http://www.city-data.com/city/Tolleson-Arizona.html;TOLLESON, AZ;TOLLESON, AZ2015
548555;12.7;32.1;35565;162400;679;5.9;89.9;41.5;2.4;4.4;0.0;194.7;http://web.archive.org/web/20111229062921/http://www.city-data.com:80/city/Tucson-Arizona.html;18.12.2016 22:39;239;2012;http://www.city-data.com/city/Tucson-Arizona.html;TUCSON, AZ;TUCSON, AZ2012
